ID,ORIGINAL_NAME,PRODUCT_NAME,PIECES,WEIGHT,MNEMONIC
0, ,NO,None,None,IDENTIFICADO
9, ,Capuccino,None,750g ,NES
41, ,Bimbollos,6p ,480g ,BIM
53, ,Burritos,None,170g ,LON
72, ,Div,4p ,45g ,TR
73, ,Pan,None,540g ,BIM
98, ,Tostado,None,180g ,WON
99, ,Pan,None,567g ,WON
100, ,Super,None,680g ,WON
106, ,Wonder,None,475g ,WON
107, ,Wonder,None,680g ,WON
108, ,Baguette,None,g ,DH
109, ,Pan,None,475g ,WON
112, ,Tostado,None,180g ,WON
122, ,Biscotel,None,410g ,SUA
123, ,Super,8p ,540g ,WON
125, ,Bollos,8p ,450g ,WON
131, ,Bollos,36p ,1635g ,SL
132, ,Bollos,30p ,1730g ,SL
134, ,Bollos,30p ,1635g ,SL
135, ,Bollos,20p ,1730g ,SL
141, ,Hot,8p ,290g ,WON
145, ,Super,8p ,435g ,WON
151, ,Medias,24p ,470g ,SL
157, ,Bollo,20p ,1950g ,SL
160, ,Molido,None,180g ,WON
161, ,Bollos,15p ,1237g ,WON
162, ,Molido,None,g ,WON
163, ,Molido,None,g ,WON
179, ,Tostado,None,200g ,WON
183, ,Tortillas,10p ,260g ,WON
202, ,Bollos,12p ,976g ,SL
205, ,Bollos,18p ,1000g ,SL
214, ,Bollos,None,1080g ,SL
217, ,Hot,None,g ,BIM
248, ,Marias,None,170g ,LAR
303, ,Dalmata,1p ,55g ,MLA
306, ,Chocotorro,1p ,50g ,MLA
308, ,Dalmata,1p ,55g ,MLA
321, ,Tuinky,2p ,76g ,WON
322, ,Tuinky,2p ,None,WON
323, ,Tuinky,3p ,114g ,WON
325, ,Tuinky,3p ,114g ,WON
328, ,Tuinky,3p ,114g ,WON
357, ,Panitos,None,30g ,WON
412, ,Canelitas,None,30g ,MLA
523, ,Dalmata,1p ,55g ,MLA
614, ,Bombonete,None,55g ,MLA
617, ,Canelitas,None,900g ,MLA
630, ,Nito,4p ,248g ,BIM
632, ,Mantecadas,8p ,250g ,BIM
634, ,Donitas,12p ,210g ,BIM
635, ,Donas,8p ,210g ,BIM
641, ,Bollo,15p ,1200g ,BIM
665, ,Figatza,None,345g ,BIM
693, ,Tostada,15p ,175g ,MR
713, ,Pan,None,680g ,ORO
714, ,7,None,680g ,ORO
715, ,Pan,None,680g ,ORO
739, ,Saladas,200p ,g ,LAR
779, ,Pan,None,500g ,BIM
799, ,Mini,None,45g ,MLA
815, ,Tostada,30p ,g ,MR
831, ,Gansito,10p ,500g ,MLA
890, ,Tostada,None,360g ,MR
897, ,Tostada,30p ,360g ,MR
915, ,Bolillo,None,80g ,DH
972, ,Roles,6p ,365g ,BIM
1031, ,Pan,None,500g ,BIM
1039, ,Pan,None,680g ,ORO
1064, ,Panque,None,255g ,BIM
1101, ,Tortillinas,None,500g ,TR
1109, ,Pan,None,360g ,BIM
1111, ,Pan,None,1360g ,BIM
1112, ,Super,None,740g ,BIM
1120, ,Pan,None,680g ,BIM
1124, ,Tortillinas,10p ,365g ,TR
1125, ,Tortillinas,10p ,255g ,TR
1126, ,Tortillinas,10p ,510g ,TR
1129, ,Tortillinas,20p ,510g ,TR
1134, ,Tortilla,22p ,840g ,DH
1136, ,Jugos,None,350ml ,VR
1143, ,Pan,None,1360g ,BIM
1144, ,Pan,None,480g ,BIM
1145, ,Pan,None,680g ,BIM
1146, ,Pan,None,675g ,BIM
1147, ,Tostada,15p ,230g ,DH
1148, ,Tostada,20p ,180g ,DH
1150, ,Medias,8p ,340g ,BIM
1153, ,Medias,16p ,680g ,BIM
1156, ,Tortillinas,50p ,g ,TR
1160, ,Bimbollos,8p ,450g ,BIM
1164, ,Bimbollos,12p ,675g ,BIM
1166, ,Bollo,30p ,None,BIM
1167, ,Bollos,30p ,1700g ,BIM
1168, ,Bollo,30p ,g ,BIM
1169, ,Bimbollos,6p ,480g ,BIM
1178, ,Chino,None,72g ,DH
1180, ,Tostado,None,210g ,BIM
1182, ,Tostado,None,210g ,BIM
1185, ,Molido,None,210g ,BIM
1187, ,Molido,None,g ,BIM
1198, ,Tostado,None,420g ,BIM
1212, ,Roles,2p ,120g ,BIM
1216, ,Roles,2p ,135g ,BIM
1220, ,Colchones,6p ,130g ,BIM
1230, ,Panque,None,255g ,BIM
1232, ,Panque,None,255g ,BIM
1233, ,Tostado,None,250g ,BIM
1238, ,Panquecito,2p ,140g ,BIM
1240, ,Mantecadas,4p ,125g ,BIM
1242, ,Donitas,6p ,105g ,BIM
1250, ,Donas,4p ,105g ,BIM
1272, ,Conchas,2p ,120g ,BIM
1277, ,Nito,None,62g ,BIM
1278, ,Nito,1p ,62g ,BIM
1284, ,Rebanada,2p ,55g ,BIM
1289, ,Donas,None,None,BIM
1294, ,Lors,20p ,236g ,MLA
1309, ,Bimbunuelos,4p ,66g ,BIM
1319, ,Conchitas,2p ,65g ,BIM
1348, ,Surtido,None,454g ,LAR
1373, ,Bollos,12p ,960g ,BIM
1464, ,Donas,26p ,650g ,BIM
1554, ,Bimbollos,18p ,1440g ,BIM
1580, ,Rosca,None,600g ,SUA
1608, ,Pastel,None,g ,SUA
1641, ,Doraditas,4p ,None,TR
1643, ,Bran,None,40g ,BIM
1644, ,Bran,None,40g ,BIM
1647, ,Animalitos,None,500g ,LAR
1686, ,Tortillas,20p ,520g ,WON
1687, ,Roles,6p ,410g ,BIM
1700, ,Tortilla,None,550g ,TR
1702, ,Tortillas,None,g ,TR
1876, ,Totopos,None,200g ,MR
1899, ,Galleta,None,g ,LAR
1949, ,Suavicremas,12p ,480g ,MLA
2025, ,Pan,None,460g ,BIM
2027, ,Pan,None,567g ,WON
2028, ,Canelita,3p ,30g ,MLA
2059, ,Banderilla,None,70g ,DH
2060, ,Barrita,None,75g ,DH
2062, ,Concha,None,g ,DH
2063, ,Concha,None,g ,DH
2064, ,Peineta,None,80g ,DH
2065, ,Cuerno,None,80g ,DH
2095, ,Pan,None,750g ,BIM
2096, ,Pan,None,530g ,BIM
2097, ,Concha,None,g ,DH
2122, ,Pan,None,567g ,SUN
2130, ,Pan,None,475g ,WON
2185, ,Molido,None,g ,BIM
2230, ,Principe,6p ,64g ,MLA
2233, ,Pan,None,640g ,BIM
2261, ,Runners,None,58g ,BAR
2290, ,Wonder,None,680g ,WON
2309, ,Mantecadas,2p ,5g ,BIM
2320, ,Barritas,None,67g ,MLA
2425, ,Nito,1p ,62g ,BIM
2438, ,Molido,None,g ,BIM
2505, ,Mini,5p ,65g ,TR
2575, ,Vasos,None,None,NES
2589, ,Vidrio,None,65g ,DH
2604, ,Barrita,None,44g ,DH
2665, ,Tostada,30p ,360g ,MR
2734, ,Lors,8p ,89g ,MLA
2805, ,Donas,10p ,525g ,BIM
2806, ,Donitas,30p ,525g ,BIM
2808, ,Mantecadas,16p ,500g ,BIM
2810, ,Panquecitos,10p ,700g ,BIM
2816, ,Principe,8p ,85g ,MLA
2817, ,Plativolos,8p ,74g ,MLA
3030, ,Tostado,None,180g ,WON
3144, ,Pan,None,540g ,BIM
3160, ,Tostada,30p ,360g ,MR
3230, ,Principe,8p ,88g ,MLA
3256, ,Orejas,None,70g ,TR
3270, ,Conchas,2p ,120g ,BIM
3303, ,Barritas,None,67g ,MLA
3305, ,Barritas,None,67g ,MLA
3319, ,Pastisetas,20p ,150g ,SUA
3320, ,Pastiseta,40p ,300g ,SUA
3333, ,Pastisetas,None,75g ,SUA
